ID_Producto,Nombre,Cantidad,PrecioUnitario,Fecha,Mes
ACC007,Cable USB-C a USB-C 1m,3,8.99,2025-02-10,2025-02
CEL006,Oppo Find X5 Lite,3,480.75,2025-02-20,2025-02
ACC002,Funda Silicona Transparente Genérica,5,12.99,2025-03-15,2025-03
ACC002,Funda Silicona Transparente Genérica,5,12.99,2024-12-31,2024-12
CEL002,iPhone 14 Pro 256GB,3,1150.0,2025-03-06,2025-03
CEL004,Google Pixel 7a,5,550.0,2025-01-08,2025-01
CEL003,Xiaomi Redmi Note 12 64GB,3,230.5,2025-03-12,2025-03
CEL001,Samsung Galaxy S23 128GB,5,950.99,2025-02-03,2025-02
ACC006,Soporte Celular para Escritorio,4,15.75,2025-01-06,2025-01
CEL003,Xiaomi Redmi Note 12 64GB,3,230.5,2025-01-27,2025-01
ACC001,Cargador Rápido USB-C 30W,4,28.5,2025-01-20,2025-01
CEL003,Xiaomi Redmi Note 12 64GB,5,230.5,2025-02-07,2025-02
CEL006,Oppo Find X5 Lite,4,480.75,2025-03-09,2025-03
CEL005,Motorola Moto G Power (2023),3,299.99,2025-03-31,2025-03
CEL006,Oppo Find X5 Lite,5,480.75,2025-03-01,2025-03
ACC003,Auriculares Inalámbricos Bluetooth TWS,5,45.0,2025-02-13,2025-02
ACC004,Protector Pantalla Hidrogel Premium,4,9.95,2025-03-14,2025-03
CEL003,Xiaomi Redmi Note 12 64GB,4,230.5,2025-02-15,2025-02
ACC001,Cargador Rápido USB-C 30W,4,28.5,2025-03-29,2025-03
ACC007,Cable USB-C a USB-C 1m,3,8.99,2025-01-27,2025-01
ACC002,Funda Silicona Transparente Genérica,3,12.99,2025-02-14,2025-02
CEL001,Samsung Galaxy S23 128GB,4,950.99,2025-01-12,2025-01
CEL005,Motorola Moto G Power (2023),4,299.99,2025-01-24,2025-01
ACC005,Power Bank 10000mAh Slim,3,32.0,2025-03-21,2025-03
CEL006,Oppo Find X5 Lite,4,480.75,2025-02-17,2025-02
CEL002,iPhone 14 Pro 256GB,5,1150.0,2025-03-01,2025-03
CEL004,Google Pixel 7a,4,550.0,2025-03-08,2025-03
ACC003,Auriculares Inalámbricos Bluetooth TWS,4,45.0,2025-01-16,2025-01
CEL001,Samsung Galaxy S23 128GB,3,950.99,2025-03-17,2025-03
CEL005,Motorola Moto G Power (2023),3,299.99,2025-03-31,2025-03
ACC001,Cargador Rápido USB-C 30W,3,28.5,2025-01-27,2025-01
CEL001,Samsung Galaxy S23 128GB,3,950.99,2024-12-31,2024-12
ACC004,Protector Pantalla Hidrogel Premium,4,9.95,2025-01-16,2025-01
CEL004,Google Pixel 7a,5,550.0,2025-03-18,2025-03
ACC005,Power Bank 10000mAh Slim,5,32.0,2025-01-28,2025-01
CEL004,Google Pixel 7a,3,550.0,2025-02-01,2025-02
CEL001,Samsung Galaxy S23 128GB,4,950.99,2025-03-31,2025-03
ACC006,Soporte Celular para Escritorio,3,15.75,2025-03-20,2025-03
CEL001,Samsung Galaxy S23 128GB,5,950.99,2025-02-15,2025-02
CEL001,Samsung Galaxy S23 128GB,4,950.99,2025-03-20,2025-03
ACC003,Auriculares Inalámbricos Bluetooth TWS,5,45.0,2025-01-01,2025-01
CEL004,Google Pixel 7a,4,550.0,2025-01-30,2025-01
ACC006,Soporte Celular para Escritorio,4,15.75,2025-02-07,2025-02
CEL003,Xiaomi Redmi Note 12 64GB,4,230.5,2025-01-31,2025-01
ACC006,Soporte Celular para Escritorio,4,15.75,2025-01-03,2025-01
CEL002,iPhone 14 Pro 256GB,5,1150.0,2025-03-12,2025-03
ACC006,Soporte Celular para Escritorio,5,15.75,2025-02-07,2025-02
ACC004,Protector Pantalla Hidrogel Premium,4,9.95,2025-03-20,2025-03
ACC003,Auriculares Inalámbricos Bluetooth TWS,4,45.0,2025-01-25,2025-01
CEL003,Xiaomi Redmi Note 12 64GB,4,230.5,2025-03-13,2025-03
ACC007,Cable USB-C a USB-C 1m,4,8.99,2025-01-10,2025-01
ACC006,Soporte Celular para Escritorio,4,15.75,2025-03-09,2025-03
ACC003,Auriculares Inalámbricos Bluetooth TWS,5,45.0,2025-03-10,2025-03
CEL003,Xiaomi Redmi Note 12 64GB,3,230.5,2025-03-26,2025-03
ACC004,Protector Pantalla Hidrogel Premium,4,9.95,2025-03-13,2025-03
ACC002,Funda Silicona Transparente Genérica,3,12.99,2025-01-20,2025-01
ACC001,Cargador Rápido USB-C 30W,3,28.5,2025-01-28,2025-01
CEL005,Motorola Moto G Power (2023),5,299.99,2025-02-12,2025-02
