ID_Producto,Nombre,Cantidad,PrecioUnitario,Fecha
ACC007,Cable USB-C a USB-C 1m,3,8.99,2025-02-10
CEL006,Oppo Find X5 Lite,3,480.75,2025-02-20
CEL005,Motorola Moto G Power (2023),1,299.99,2025-02-23
ACC002,Funda Silicona Transparente Genérica,5,12.99,2025-03-15
ACC005,Power Bank 10000mAh Slim,2,32.00,2025-02-12
ACC006,Soporte Celular para Escritorio,2,15.75,2025-01-16
ACC002,Funda Silicona Transparente Genérica,5,12.99,2024-12-31
CEL002,iPhone 14 Pro 256GB,3,1150.00,2025-03-06
ACC005,Power Bank 10000mAh Slim,2,32.00,2025-01-22
CEL004,Google Pixel 7a,5,550.00,2025-01-08
CEL003,Xiaomi Redmi Note 12 64GB,3,230.50,2025-03-12
CEL006,Oppo Find X5 Lite,1,480.75,2025-01-09
CEL006,Oppo Find X5 Lite,1,480.75,2025-02-11
ACC001,Cargador Rápido USB-C 30W,2,28.50,2025-02-24
CEL004,Google Pixel 7a,1,550.00,2025-01-21
CEL006,Oppo Find X5 Lite,1,480.75,2025-02-20
CEL001,Samsung Galaxy S23 128GB,5,950.99,2025-02-03
ACC006,Soporte Celular para Escritorio,4,15.75,2025-01-06
CEL003,Xiaomi Redmi Note 12 64GB,3,230.50,2025-01-27
CEL005,Motorola Moto G Power (2023),2,299.99,2025-01-24
ACC001,Cargador Rápido USB-C 30W,4,28.50,2025-01-20
CEL003,Xiaomi Redmi Note 12 64GB,5,230.50,2025-02-07
CEL006,Oppo Find X5 Lite,4,480.75,2025-03-09
ACC005,Power Bank 10000mAh Slim,2,32.00,2025-01-22
CEL005,Motorola Moto G Power (2023),3,299.99,2025-03-31
ACC004,Protector Pantalla Hidrogel Premium,1,9.95,2025-01-22
CEL006,Oppo Find X5 Lite,5,480.75,2025-03-01
ACC003,Auriculares Inalámbricos Bluetooth TWS,5,45.00,2025-02-13
ACC004,Protector Pantalla Hidrogel Premium,4,9.95,2025-03-14
CEL003,Xiaomi Redmi Note 12 64GB,4,230.50,2025-02-15
ACC001,Cargador Rápido USB-C 30W,4,28.50,2025-03-29
CEL003,Xiaomi Redmi Note 12 64GB,2,230.50,2025-03-05
ACC007,Cable USB-C a USB-C 1m,3,8.99,2025-01-27
ACC005,Power Bank 10000mAh Slim,2,32.00,2025-01-25
ACC002,Funda Silicona Transparente Genérica,3,12.99,2025-02-14
CEL004,Google Pixel 7a,2,550.00,2025-03-14
CEL001,Samsung Galaxy S23 128GB,4,950.99,2025-01-12
CEL005,Motorola Moto G Power (2023),4,299.99,2025-01-24
ACC002,Funda Silicona Transparente Genérica,2,12.99,2025-02-23
CEL004,Google Pixel 7a,1,550.00,2025-03-18
ACC002,Funda Silicona Transparente Genérica,2,12.99,2025-01-01
CEL004,Google Pixel 7a,2,550.00,2025-01-02
ACC001,Cargador Rápido USB-C 30W,2,28.50,2025-02-03
ACC005,Power Bank 10000mAh Slim,3,32.00,2025-03-21
CEL006,Oppo Find X5 Lite,4,480.75,2025-02-17
CEL002,iPhone 14 Pro 256GB,5,1150.00,2025-03-01
CEL004,Google Pixel 7a,4,550.00,2025-03-08
ACC003,Auriculares Inalámbricos Bluetooth TWS,4,45.00,2025-01-16
CEL001,Samsung Galaxy S23 128GB,1,950.99,2025-03-10
CEL001,Samsung Galaxy S23 128GB,3,950.99,2025-03-17
CEL005,Motorola Moto G Power (2023),3,299.99,2025-03-31
ACC001,Cargador Rápido USB-C 30W,3,28.50,2025-01-27
ACC007,Cable USB-C a USB-C 1m,2,8.99,2025-02-20
CEL001,Samsung Galaxy S23 128GB,3,950.99,2024-12-31
CEL004,Google Pixel 7a,1,550.00,2025-01-13
CEL001,Samsung Galaxy S23 128GB,2,950.99,2025-03-26
ACC004,Protector Pantalla Hidrogel Premium,4,9.95,2025-01-16
