Ciudad,Fecha,Temperatura (°C),Velocidad del Viento (m/s),Precipitación (mm),Humedad Relativa (%),Nubosidad (%),Año,Mes,Día,Hora
Armenia,2025-05-03 00:00:00,18.9,4.0,0.0,88,100,2025,5,3,0
Armenia,2025-05-03 01:00:00,17.7,2.3,0.0,98,100,2025,5,3,1
Armenia,2025-05-03 02:00:00,17.5,1.8,0.0,100,100,2025,5,3,2
Armenia,2025-05-03 03:00:00,17.4,4.1,0.0,100,100,2025,5,3,3
Armenia,2025-05-03 04:00:00,17.5,4.7,0.1,100,100,2025,5,3,4
Armenia,2025-05-03 05:00:00,17.2,2.7,0.0,99,100,2025,5,3,5
Armenia,2025-05-03 06:00:00,16.9,3.4,0.0,99,100,2025,5,3,6
Armenia,2025-05-03 07:00:00,17.5,2.6,0.0,97,100,2025,5,3,7
Armenia,2025-05-03 08:00:00,18.8,5.1,0.1,94,100,2025,5,3,8
Armenia,2025-05-03 09:00:00,19.6,7.8,0.2,89,100,2025,5,3,9
Armenia,2025-05-03 10:00:00,20.2,8.2,0.2,88,100,2025,5,3,10
Armenia,2025-05-03 11:00:00,21.5,7.8,0.0,84,100,2025,5,3,11
Armenia,2025-05-03 12:00:00,22.3,6.8,0.0,82,100,2025,5,3,12
Armenia,2025-05-03 13:00:00,23.1,2.7,0.0,77,100,2025,5,3,13
Armenia,2025-05-03 14:00:00,23.0,4.3,0.1,77,100,2025,5,3,14
Armenia,2025-05-03 15:00:00,22.8,3.1,0.0,76,100,2025,5,3,15
Armenia,2025-05-03 16:00:00,22.5,4.7,0.1,76,100,2025,5,3,16
Armenia,2025-05-03 17:00:00,21.2,3.3,2.3,86,100,2025,5,3,17
Armenia,2025-05-03 18:00:00,20.2,3.1,3.8,91,100,2025,5,3,18
Armenia,2025-05-03 19:00:00,19.6,3.4,2.7,91,100,2025,5,3,19
Armenia,2025-05-03 20:00:00,19.3,2.8,2.7,91,100,2025,5,3,20
Armenia,2025-05-03 21:00:00,19.1,2.2,2.6,91,100,2025,5,3,21
Armenia,2025-05-03 22:00:00,19.1,1.3,1.3,89,100,2025,5,3,22
Armenia,2025-05-03 23:00:00,19.0,1.8,0.7,87,100,2025,5,3,23
Armenia,2025-05-04 00:00:00,18.8,3.2,0.1,87,100,2025,5,4,0
Armenia,2025-05-04 01:00:00,17.8,2.4,0.1,95,100,2025,5,4,1
Armenia,2025-05-04 02:00:00,17.7,1.3,0.0,95,100,2025,5,4,2
Armenia,2025-05-04 03:00:00,17.4,1.1,0.2,97,100,2025,5,4,3
Armenia,2025-05-04 04:00:00,17.8,1.5,0.1,92,100,2025,5,4,4
Armenia,2025-05-04 05:00:00,17.5,3.7,0.0,92,100,2025,5,4,5
Armenia,2025-05-04 06:00:00,16.5,2.1,0.0,99,100,2025,5,4,6
Armenia,2025-05-04 07:00:00,17.3,3.1,0.0,99,100,2025,5,4,7
Armenia,2025-05-04 08:00:00,19.0,6.5,0.0,93,100,2025,5,4,8
Armenia,2025-05-04 09:00:00,20.0,7.6,0.0,88,100,2025,5,4,9
Armenia,2025-05-04 10:00:00,20.6,6.2,0.0,86,100,2025,5,4,10
Armenia,2025-05-04 11:00:00,21.9,8.7,0.0,81,100,2025,5,4,11
Armenia,2025-05-04 12:00:00,22.1,8.4,0.6,82,100,2025,5,4,12
Armenia,2025-05-04 13:00:00,22.5,7.5,0.5,80,100,2025,5,4,13
Armenia,2025-05-04 14:00:00,22.0,4.7,2.1,81,100,2025,5,4,14
Armenia,2025-05-04 15:00:00,21.7,3.5,1.1,83,100,2025,5,4,15
Armenia,2025-05-04 16:00:00,20.9,5.4,5.7,87,100,2025,5,4,16
Armenia,2025-05-04 17:00:00,20.5,3.1,3.3,89,100,2025,5,4,17
Armenia,2025-05-04 18:00:00,20.1,1.1,0.6,91,100,2025,5,4,18
Armenia,2025-05-04 19:00:00,19.8,2.0,0.0,91,100,2025,5,4,19
Armenia,2025-05-04 20:00:00,19.5,1.6,0.0,91,100,2025,5,4,20
Armenia,2025-05-04 21:00:00,19.3,1.3,0.4,92,100,2025,5,4,21
Armenia,2025-05-04 22:00:00,19.2,1.4,1.3,91,100,2025,5,4,22
Armenia,2025-05-04 23:00:00,18.9,1.8,2.0,93,100,2025,5,4,23
Armenia,2025-05-05 00:00:00,18.4,1.8,2.5,96,100,2025,5,5,0
Armenia,2025-05-05 01:00:00,18.1,1.4,2.6,97,100,2025,5,5,1
Armenia,2025-05-05 02:00:00,18.1,1.9,2.4,95,100,2025,5,5,2
Armenia,2025-05-05 03:00:00,17.7,2.0,1.4,96,100,2025,5,5,3
Armenia,2025-05-05 04:00:00,17.6,1.8,0.9,96,100,2025,5,5,4
Armenia,2025-05-05 05:00:00,17.3,1.5,0.9,99,100,2025,5,5,5
Armenia,2025-05-05 06:00:00,17.3,0.4,1.0,98,100,2025,5,5,6
Armenia,2025-05-05 07:00:00,17.6,1.6,0.8,99,100,2025,5,5,7
Armenia,2025-05-05 08:00:00,18.3,2.5,0.6,96,100,2025,5,5,8
Armenia,2025-05-05 09:00:00,19.2,4.0,0.4,92,100,2025,5,5,9
Armenia,2025-05-05 10:00:00,19.6,5.7,0.4,91,100,2025,5,5,10
Armenia,2025-05-05 11:00:00,20.4,5.2,0.3,86,100,2025,5,5,11
Armenia,2025-05-05 12:00:00,20.4,5.6,0.5,86,100,2025,5,5,12
Armenia,2025-05-05 13:00:00,20.7,4.0,0.8,87,100,2025,5,5,13
Armenia,2025-05-05 14:00:00,21.1,5.0,0.8,86,100,2025,5,5,14
Armenia,2025-05-05 15:00:00,20.9,1.8,0.7,87,100,2025,5,5,15
Armenia,2025-05-05 16:00:00,21.2,1.8,0.0,84,100,2025,5,5,16
Armenia,2025-05-05 17:00:00,20.7,2.1,0.8,86,100,2025,5,5,17
Armenia,2025-05-05 18:00:00,20.1,1.9,2.8,90,100,2025,5,5,18
Armenia,2025-05-05 19:00:00,19.8,1.1,3.0,90,100,2025,5,5,19
Armenia,2025-05-05 20:00:00,19.6,1.9,2.7,89,100,2025,5,5,20
Armenia,2025-05-05 21:00:00,19.2,1.0,2.5,90,100,2025,5,5,21
Armenia,2025-05-05 22:00:00,18.9,0.8,2.3,90,100,2025,5,5,22
Armenia,2025-05-05 23:00:00,18.4,3.2,2.0,93,100,2025,5,5,23
Armenia,2025-05-06 00:00:00,18.1,1.8,1.9,95,100,2025,5,6,0
Armenia,2025-05-06 01:00:00,18.2,2.0,1.6,93,100,2025,5,6,1
Armenia,2025-05-06 02:00:00,18.1,2.0,0.7,91,100,2025,5,6,2
Armenia,2025-05-06 03:00:00,18.2,2.1,0.7,89,100,2025,5,6,3
Armenia,2025-05-06 04:00:00,18.1,1.9,0.7,88,100,2025,5,6,4
Armenia,2025-05-06 05:00:00,17.6,2.2,0.0,92,100,2025,5,6,5
Armenia,2025-05-06 06:00:00,17.1,2.2,0.0,97,100,2025,5,6,6
Armenia,2025-05-06 07:00:00,17.1,2.9,0.0,100,100,2025,5,6,7
Armenia,2025-05-06 08:00:00,18.0,4.3,0.0,96,100,2025,5,6,8
Armenia,2025-05-06 09:00:00,19.4,6.0,0.0,90,100,2025,5,6,9
Armenia,2025-05-06 10:00:00,20.7,7.2,0.0,84,100,2025,5,6,10
Armenia,2025-05-06 11:00:00,21.5,7.8,0.2,81,100,2025,5,6,11
Armenia,2025-05-06 12:00:00,22.2,7.8,0.2,79,100,2025,5,6,12
Armenia,2025-05-06 13:00:00,22.6,6.9,0.2,78,100,2025,5,6,13
Armenia,2025-05-06 14:00:00,22.7,5.1,0.5,77,100,2025,5,6,14
Armenia,2025-05-06 15:00:00,22.6,2.2,0.5,77,100,2025,5,6,15
Armenia,2025-05-06 16:00:00,22.2,0.4,0.5,78,100,2025,5,6,16
